1	156.997	235.718	150.067	173.251
2	163.161	116.863	812.106	95.156
3	252.609	178.252	305.827	216.002
4	401.202	236.15	401.151	126.712
5	521.174	236.068	495.212	127.923
6	790.314	311.113	615.474	148.188
7	1069.784	376.304	761.274	242.25
8	1590.406	465.006	841.23	175.936
9	1624.575	444.002	942.951	155.826
10	2705.775	656.289	1144.083	204.364
11	2531.72	960.94	1083.6	163.659
12	2871.61	646.211	1703.694	169.404
13	4198.539	836.96	1279.15	209.671
14	5856.526	1120.64	1552.68	466.187
15	5813.106	1256.614	1649.13	155.243
16	1312.319	1342.285	2144.417	100.772
17	1454.5	1593.588	1316.483	104.286
18	1518.984	1611.602	1196.509	97.453
19	1760.378	1788.777	1320.496	102.537
20	4170.715	2680.809	2069.031	112.752
21	2307.612	2263.643	1549.057	107.823
22	2681.895	2911.544	1851.638	115.353
23	4953.282	3470.056	3364.619	116.544
24	3364.951	515.25	1687.631	97.984
25	1938.446	264.908	961.682	68.086
26	1945.293	261.894	975.246	65.878
27	2439.779	322.359	1076.15	72.637
28	2606.44	316.575	1105.46	72.946
29	2632.762	307.834	874.687	68.425
30	3147.234	345.617	1002.302	72.151
31	3201.098	330.829	960.379	71.514
32	3301.127	332.413	920.317	69.18
33	3974.459	412.204	657.747	84.831
34	3798.708	381.204	549.96	74.852
35	5414.457	516.87	829.389	95.798
36	4502.803	425.399	607.861	80.316
37	5330.364	461.463	680.119	82.215
38	5056.155	451.355	641.106	82.128
39	5900.347	487.309	709.301	85.61
40	6133.234	543.786	780.037	86.76
41	7285.258	579.52	885.126	94.888
42	11408.701	902.37	1508.585	128.636
43	9969.507	869.022	1207.182	109.824
44	7061.553	533.152	741.278	92.975
45	7152.391	525.117	679.805	80.804
46	8570.114	608.479	788.328	87.372
47	9238.2	973.706	869.142	94
48	13452.471	970.352	1446.21	121.472
49	9946.331	688.834	1082.988	95.977
50	10913.053	734.309	981.401	99.338
51	11284.072	746.673	996.378	101.946
52	10963.97	711.026	929.244	97.746
53	11202.001	708.462	926.134	84.061
54	30168.791	1198.997	1808.314	139.355
55	18979.488	1185.878	1683.723	134.413
56	15590.841	953.435	1296.622	113.65
57	18154.687	1086.908	1479.242	122.047
58	18329.761	1071.293	1427.009	122.769
59	16403.546	971.243	1259.194	110.742
60	17658.643	979.519	1364.054	120.778
61	19834.327	1161.011	1500.237	122.029
62	21925.473	1250.225	1794.22	131.756
63	17756.925	989.566	1273.371	107.257
64	18273.924	1023.663	1266.628	105.897
65	19081.435	1029.226	1228.841	92.56
