n,i,algo1,algo2,algoR,algo4
4,949,342,266,496,187,
4,950,320,234,1252,200,
4,951,318,248,483,190,
4,952,320,245,457,196,
4,953,378,241,474,198,
4,954,323,227,477,197,
4,955,350,243,421,213,
4,956,318,278,470,173,
4,957,298,286,452,272,
4,958,615,365,656,316,
4,959,615,381,693,373,
4,960,400,275,620,304,
4,961,532,393,601,319,
4,962,577,408,800,316,
4,963,639,425,675,324,
4,964,590,511,667,353,
4,965,571,400,712,285,
4,966,626,428,719,300,
4,967,568,430,774,269,
4,968,379,271,460,201,
4,969,346,306,509,187,
4,970,357,269,384,241,
4,971,323,239,458,204,
4,972,392,273,398,205,
4,973,310,281,461,210,
4,974,311,272,616,233,
4,975,368,279,387,229,
4,976,352,227,410,195,
4,977,388,273,462,239,
4,978,325,245,437,204,
4,979,332,238,456,204,
4,980,316,257,470,247,
4,981,413,246,479,179,
4,982,335,275,450,193,
4,983,321,230,447,197,
4,984,320,262,475,236,
4,985,317,253,428,184,
4,986,322,235,465,242,
4,987,345,237,460,228,
4,988,339,241,475,175,
4,989,369,313,458,215,
4,990,298,220,475,190,
4,991,298,284,455,245,
4,992,365,232,470,198,
4,993,331,243,446,246,
4,994,386,286,447,208,
4,995,350,243,467,222,
4,996,296,240,453,221,
4,997,356,296,464,199,
4,998,322,242,445,187,
4,999,375,240,407,254,
