n,i,algo1,algo2,algoR,algo4
4,187,3162,1976,3967,1509,
4,188,2825,1809,3089,1481,
4,189,2747,1560,2996,1364,
4,190,2915,1895,3143,1362,
4,191,2557,1795,3038,1439,
4,192,2758,1600,2906,1373,
4,193,2689,1625,3194,1312,
4,194,2683,1440,2812,993,
4,195,2444,1548,2707,1310,
4,196,2641,1697,2759,1415,
4,197,2451,1574,2529,1302,
4,198,2557,1633,2732,1322,
4,199,2400,1611,2616,1093,
4,200,2492,1638,2700,1258,
4,201,2541,1696,8840,1363,
4,202,2839,1805,3018,1366,
4,203,2724,1635,2856,1362,
4,204,2699,1734,2970,1361,
4,205,2877,1755,3004,1349,
4,206,2762,1591,2864,1396,
4,207,2760,1781,2966,1342,
4,208,2697,1610,2802,1320,
4,209,2942,1625,3025,1399,
4,210,18363,1799,2982,1310,
4,211,3460,2083,2900,1379,
4,212,3174,1713,2925,1250,
4,213,3210,1727,2552,1268,
4,214,2735,1638,2402,1265,
4,215,2593,1606,2544,1024,
4,216,4350,1944,4294,1729,
4,217,3307,1842,3080,1359,
4,218,2969,1609,2669,1203,
4,219,2785,5902,4259,1247,
4,220,2557,1480,2498,1484,
4,221,2599,1310,2723,1141,
4,222,2575,1384,2730,1170,
4,223,2658,1516,2504,1073,
4,224,2625,1540,2400,1174,
4,225,2460,1432,2498,1108,
4,226,2387,1445,2620,1106,
4,227,2418,1575,2698,1184,
4,228,2484,1413,2271,1033,
4,229,2401,1312,2280,877,
4,230,6251,2504,8464,2302,
4,231,3413,1725,2895,1281,
4,232,3778,2292,3944,1752,
4,233,3294,1871,3502,1370,
4,234,3155,1789,3271,1464,
4,235,2893,1540,2678,1229,
4,236,2683,1455,2355,1090,
4,237,2937,1693,2495,1329,
4,238,3110,1773,2585,1301,
4,239,3069,1785,2711,1306,
4,240,6652,1650,2553,1302,
4,241,2617,1691,2431,1435,
4,242,2522,1540,3122,1431,
4,243,3193,1694,3313,1488,
4,244,2923,1782,6812,1593,
4,245,3122,2019,2915,1467,
4,246,3035,1821,2727,1342,
4,247,3004,1736,2828,1477,
4,248,2914,2136,3027,1614,
4,249,3007,1880,3255,1298,
4,250,3021,1757,2924,1460,
4,251,3165,1881,3480,1380,
4,252,3290,2005,3038,1421,
4,253,2938,1634,2675,1447,
4,254,2953,1634,2778,1395,
4,255,3075,3433,3050,5386,
4,256,3020,1933,2963,1341,
4,257,2834,1860,2791,1345,
4,258,2992,1990,2720,1363,
4,259,3046,1776,2846,1309,
4,260,2920,1635,2913,1457,
4,261,2793,1760,2755,1241,
4,262,2841,1715,2831,1371,
4,263,3034,1791,2800,1270,
4,264,2804,1692,2670,1453,
4,265,2917,1605,2737,1388,
4,266,2856,1771,3173,1476,
4,267,3018,1888,2896,1227,
4,268,3072,1669,3028,1420,
